鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區福興路91~120號,18.24,住,,,1081216,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910912,101.57,2,2,1,有,有,10800000,106331,坡道平面,25.11,0,含增建或未登記建物。;內含獨立產權車位，未包含在棟數內。,RPVOMLLLJHPFFAA77CA
文山區,房地(土地+建物),臺北市文山區景福街54巷5弄1~30號,27.52,住,,,1081214,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880119,124.1,3,2,2,有,有,21600000,174053,,0.0,0,含增建或未登記建物。;,RPQPMLLLJHPFFAA37CA
文山區,房地(土地+建物),臺北市文山區興隆路四段121~150號,36.89,住,,,1081231,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,180.64,3,1,1,有,有,23600000,130647,,0.0,0,,RPPNMLMLJHPFFAA17CA
中正區,房地(土地+建物)+車位,臺北市中正區廈門街121~150號,14.67,商,,,1080226,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070816,139.12,3,2,2,有,有,27000000,194077,坡道機械,6.87,0,,RPOOMLMLJHPFFAA17CA
文山區,房地(土地+建物),臺北市文山區興隆路三段207巷14弄1~30號,24.12,住,,,1081124,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,92.4,3,2,2,有,有,9000000,97403,,0.0,0,,RPQPMLKMJHPFFAA37CA
文山區,房地(土地+建物),臺北市文山區木新路二段43巷1~30號,6.59,住,,,1090109,土地1建物1車位0,地下一層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830728,55.92,1,1,1,有,有,5500000,98355,,0.0,0,,RPRNMLPJKHPFFAA57CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.49,商,,,1081206,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,52.2,2,1,1,有,有,10500000,201149,,0.0,0,含增建或未登記建物。;,RPQNMLMLJHPFFBA37CA
大同區,房地(土地+建物),臺北市大同區五原路1~30號,11.06,商,,,1081208,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981216,116.62,3,1,1,有,有,21680000,185903,,0.0,0,,RPRNMLKMJHPFFBA37CA
大同區,房地(土地+建物),臺北市大同區民權西路211~240號,6.02,其他,,,1090107,土地3建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,63.45,2,2,1,有,有,14880000,234515,,0.0,0,,RPOPMLNJKHPFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區東園街28巷31~60號,10.42,住,,,1081226,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0810921,38.46,1,1,1,有,無,4500000,117005,,0.0,0,無電梯,RPPNMLLMJHPFFBA27CA
中正區,房地(土地+建物),臺北市中正區延平南路61~90號,7.9,商,,,1081216,土地1建物1車位0,十三層,十五層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1070119,80.98,0,0,0,無,有,23800000,293900,,0.0,0,,RPVNMLNKKHPFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區中華路一段181~210號,4.8,其他,,,1081205,土地1建物1車位0,二層,十五層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0991119,67.13,0,0,0,無,有,15100000,224937,,0.0,0,,RPUNMLRKKHPFFBA28CA
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段52巷1~30號,14.25,商,,,1081223,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670825,40.58,3,2,2,有,無,3670000,90439,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLTKKHPFFBA48CA
大同區,房地(土地+建物),臺北市大同區承德路二段75巷1~30號,51.0,住,,,1081223,土地2建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,磚造,,88.34,2,2,0,有,無,13500000,152819,,0.0,0,,RPXOMLOLKHPFFBA48CA
中山區,土地,吉林段三小段871~900地號,633.0,商,,,1090108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,593588000,937738,,0.0,0,,RPOQMLLLJHPFFCA47CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段91~120號,15.55,商,,,1081124,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970130,157.69,2,2,2,有,有,26000000,164880,坡道機械,4.63,0,含增建或未登記建物。;,RPQNMLMLJHPFFCA47CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,13.08,住,,,1081215,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,111.38,2,1,1,有,有,17500000,157120,坡道平面,30.74,0,,RPTNMLMLJHPFFCA77CA
中山區,房地(土地+建物),臺北市中山區中山北路一段83巷1~30號,12.86,商,,,1081208,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670116,112.88,2,2,2,有,有,17500000,155032,,0.0,0,含增建或未登記建物。;,RPVNMLMLJHPFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街121~150號,32.06,住,,,1081126,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,229.0,4,2,3,有,有,50530000,220655,坡道平面,28.03,0,含增建或未登記建物。;,RPXNMLMLJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區龍江路271~300號,29.2,住,,,1081224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661220,107.13,3,2,2,有,無,18000000,168020,,0.0,0,,RPWOMLNJKHPFFCA18CA
