鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物)+車位,臺中市西區精誠路211~240號,49.55,住,,,1081218,土地1建物1車位1,一層，二層，騎樓,十一層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010927,160.93,1,1,2,有,有,24600000,152861,坡道機械,16.03,0,,RPPOMLMLJHPFFAB37CA
南區,房地(土地+建物)+車位,臺中市南區大慶街一段130巷1~30號,22.5,住,,,1081028,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820708,149.51999999999998,3,2,2,有,有,6000000,40126,坡道機械,0.0,0,含增建或未登記建物。;,RPRPMLLMJHPFFAB67CA
南區,房地(土地+建物)+車位,臺中市南區建國南路一段151~180號,42.97,住,,,1081215,土地3建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0801101,161.79999999999998,3,2,2,有,有,8000000,49444,坡道平面,0.0,0,,RPSPMLLMJHPFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區德富路421~450號,17.57,住,,,1081229,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820823,106.94,2,2,1,有,無,3030000,28334,升降平面,0.0,0,,RPRNMLMJKHPFFAB37CA
南區,土地,半平厝段1021~1050地號,294.0,其他,,,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11348400,38600,,0.0,0,包含公共設施保留地之交易。;,RPXNMLPJKHPFFAB28CA
南區,土地,半平厝段1021~1050地號,234.0,住,,,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10151600,43383,,0.0,0,,RPOOMLPJKHPFFAB47CA
西區,房地(土地+建物),臺中市西區日進街31~60號,71.0,住,,,1081012,土地2建物1車位0,全,三層,透天厝,商業用,見其他登記事項,0590902,174.76,4,2,2,有,無,6000000,34333,,0.0,0,,RPROMLPJKHPFFAB77CA
西區,房地(土地+建物)+車位,臺中市西區五權西四街1~30號,11.28,住,,,1081214,土地3建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890803,222.61,3,2,2,有,有,17000000,75863,坡道平面,14.34,1200000,,RPQPMLOJKHPFFAB67CA
西區,房地(土地+建物),臺中市西區大忠南街61~90號,7.38,商,,,1081203,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950810,89.53,2,2,1,有,有,7200000,80420,,0.0,0,,RPSPMLQJKHPFFAB08CA
南區,房地(土地+建物),臺中市南區大慶街二段9巷1~30號,74.06,住,,,1081206,土地8建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931025,156.4,4,2,3,有,無,14380000,91944,,0.0,0,含增建或未登記建物。,RPSNMLTJKHPFFAB18CA
西區,房地(土地+建物),臺中市西區五權一街151~180號,84.0,住,,,1090106,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0600224,126.68,3,2,2,有,無,16000000,126302,,0.0,0,受債權債務影響或債務抵償之交易。;,RPTNMLTJKHPFFAB28CA
南區,房地(土地+建物),臺中市南區五權南路601~630號,12.15,其他,,,1081218,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811023,103.27,3,2,2,有,有,4000000,38733,,0.0,0,含增建或未登記建物,RPWPMLRJKHPFFAB58CA
東區,房地(土地+建物),臺中市東區旱溪西路一段260巷1~30號,89.13,住,,,1090214,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0840506,253.0,6,2,4,有,有,10850000,42885,,0.0,0,,RPPPMLPKKHPFFAB77CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.17,住,,,1090108,土地2建物1車位0,十一層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,28.810000000000002,0,0,0,無,有,1750000,60743,,0.0,0,含增建或未登記建物。;,RPTOMLSKKHPFFAB38CA
北區,房地(土地+建物),臺中市北區東光東街61~90號,5.34,住,,,1081210,土地1建物1車位0,三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831214,44.1,1,1,1,有,有,1900000,43084,,0.0,0,,RPORMLLLJHPFFBB57CA
北屯區,房地(土地+建物),臺中市北屯區平德路41巷1~30號,27.32,住,,,1081212,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690524,92.78,3,2,2,有,無,2950000,31796,,0.0,0,,RPXRMLMLJHPFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區熱河路三段1~30號,25.33,住,,,1081127,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0710227,58.05,0,0,0,無,無,6000000,103359,,0.0,0,,RPTSMLMLJHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十三路121~150號,15.94,住,,,1090106,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,100.63,3,2,2,有,有,5680000,56444,坡道機械,14.9,0,,RPPUMLMLJHPFFBB08CA
北區,房地(土地+建物),臺中市北區五權路301~330號,3.44,商,,,1081213,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0770826,34.56,1,1,1,有,有,1400000,40509,,0.0,0,,RPXUMLMLJHPFFBB88CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段346巷1~30號,24.95,住,,,1081206,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031022,162.64,3,2,2,有,有,12500000,76857,坡道平面,25.43,0,,RPOOMLNLJHPFFBB47CA
