鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前金區,房地(土地+建物),高雄市前金區七賢二路421~450號,4.44,商,,,1090113,土地3建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720430,41.46,1,1,1,有,有,1300000,31356,,0.0,0,,RPPNMLMLJHPFFAE57CA
鼓山區,土地,鼓中段一小段1111~1140地號,123.0,商,,,1080508,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,109756,,0.0,0,,RPTNMLPJKHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍子里大順一路601~630號,18.08,商,,,1081221,土地1建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020409,277.34000000000003,3,2,2,有,有,20700000,74638,坡道平面,26.77,0,,RPTOMLQJKHPFFAE38CA
前金區,房地(土地+建物),高雄市前金區中華四路301~330號,3.63,商,,,1081227,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850920,33.07,1,1,1,有,有,1550000,46870,,0.0,0,,RPVOMLLKKHPFFAE18CA
新興區,房地(土地+建物),高雄市新興區同心路91~120號,28.36,商,,,1081231,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0711217,107.74,3,2,2,有,無,4700000,43624,,0.0,0,,RPVNMLKMJHPFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區民權一路84巷1~30號,110.0,住,,,1081226,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0671016,228.97,6,2,4,有,無,19800000,86474,,0.0,0,,RPRNMLMLJHPFFBE87CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路211~240號,91.0,商,,,1081226,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1080416,433.43,5,2,5,有,無,35210000,81236,,0.0,0,,RPXNMLKKKHPFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.16,商,,,1081231,土地1建物1車位0,十層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,120.61,3,2,2,有,有,4200000,34823,,0.0,0,,RPSOMLKKKHPFFBE87CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區仁德街1~30號,8.57,商,,,1081231,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,92.52,2,2,1,有,有,6500000,70255,坡道機械,5.14,0,,RPRNMLNJKHPFFBE87CA
