鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,14.08,住,,,1081222,土地2建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,164.03,3,2,2,有,無,24100000,160233,坡道平面,26.73,2100000,本案尚未成立管理委員會.,RPUVOLLLJHPFFAF09CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,18.31,住,,,1081121,土地2建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,210.73000000000002,3,2,2,有,無,32600000,166033,坡道平面,26.73,2050000,本案尚未成立管理委員會.,RPPWOLLLJHPFFAF68CA
土城區,房地(土地+建物)+車位,新北市土城區莊園街1~30號,38.44,住,,,1060308,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080412,236.47,3,2,3,有,無,30000000,140236,坡道平面,36.45,1950000,1.預售屋2.權利人2人3.於民國108年6月24日讓渡1/2予二親等以內親屬,RPOOMLMLJHPFFAF67CA
土城區,房地(土地+建物)+車位,新北市土城區莊園街1~30號,31.67,住,,,1060510,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080412,193.28,3,2,2,有,有,21530000,126443,坡道平面,36.45,1700000,預售屋,RPPOMLMLJHPFFAF77CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,1.85,住,,,1081223,土地1建物1車位0,四層,三十七層,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0950914,56.22,1,1,1,有,有,6950000,123621,,0.0,0,含增建或未登記建物。;,RPSOMLMLJHPFFAF08CA
板橋區,房地(土地+建物),新北市板橋區忠孝路48巷11弄1~30號,28.0,住,,,1081209,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650529,68.32,2,2,1,有,無,4400000,64403,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間買賣,RPXOMLMLJHPFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區大漢街1~30號,8.9,住,,,1060903,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080909,87.5,2,1,1,有,有,8970000,102514,坡道平面,30.87,0,本案房地交易總價為預售當時價格。,RPOPMLMLJHPFFAF77CA
土城區,房地(土地+建物),新北市土城區福安街61~90號,15.75,住,,,1081121,土地2建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921126,108.27000000000001,3,2,2,有,有,10800000,99751,,0.0,0,含增建或未登記建物。;,RPPNMLTLJHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區中正路331~360號,25.92,住,,,1081225,土地1建物1車位0,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,158.62,3,2,2,有,有,6000000,37826,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLKMJHPFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區國慶路158巷1~30號,19.81,住,,,1081108,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960723,166.44,4,2,2,有,有,18800000,112954,坡道平面,31.92,0,含增建或未登記建物。;,RPROMLKMJHPFFAF87CA
土城區,房地(土地+建物),新北市土城區學府路一段1~30號,14.16,住,,,1080928,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830701,119.52,4,2,2,有,有,11760000,98394,,0.0,0,含增建或未登記建物。;,RPSOMLKMJHPFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區中正路151~180號,22.41,住,,,1080320,土地1建物1車位1,二十層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080509,231.0,3,2,2,有,有,34000000,147186,坡道平面,33.06,0,,RPUOMLKMJHPFFAF18CA
土城區,房地(土地+建物),新北市土城區延和路177巷11弄1~30號,31.56,住,,,1081219,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700130,96.38,0,0,0,無,無,12000000,124507,,0.0,0,含增建或未登記建物。;,RPSRMLKMJHPFFAF28CA
