鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區同德七街25巷61~90號,124.14,住,,,1081102,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831024,334.59,5,3,4,有,有,18700000,55889,,0.0,0,,RPTQMLLLJHPFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區國豐三街1~30號,7.43,住,,,1090101,土地1建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,62.730000000000004,2,2,1,有,有,3400000,54201,,0.0,0,,RPSRMLLLJHPFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區大業路一段181~210號,9.29,住,,,1081215,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940302,87.0,2,1,1,有,有,5880000,67586,,0.0,0,,RPPOMLLMJHPFFAH97CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街91~120號,10.83,商,,,1081203,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,109.31,2,2,1,有,有,7400000,67697,坡道機械,13.55,0,,RPPPMLLMJHPFFAH08CA
桃園區,房地(土地+建物),桃園市桃園區莊敬路一段210巷31~60號,8.63,住,,,1081118,土地1建物1車位0,十一層，十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860419,56.77,1,1,1,有,有,4000000,70460,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLNJKHPFFAH38CA
桃園區,房地(土地+建物),桃園市桃園區中華路91~120號,16.17,商,,,1081123,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730716,127.66,3,2,2,有,有,6300000,49350,,0.0,0,,RPTPMLNJKHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.92,商,,,1081107,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.8,2,2,1,有,有,7000000,62057,坡道機械,14.24,0,,RPVNMLNJKHPFFAH48CA
桃園區,土地,小檜溪段1141~1170地號,8.32,住,,,1081220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,982800,118125,,0.0,0,建商與地主合建案。;,RPTOMLOJKHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,30.6,住,,,1080726,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,256.51,3,2,2,有,有,19800000,102475,坡道平面,94.52,3200000,,RPVPMLPJKHPFFAH88CA
